2017-09-14 14:16:00.288 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-09-14 14:16:00.319 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@32a068d1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@33cb5951, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@365c30cc, org.springframework.test.context.support.DirtiesContextTestExecutionListener@701fc37a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4148db48, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@282003e1]
2017-09-14 14:16:00.486 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [applicationContext.xml]
2017-09-14 14:16:01.904 [main] INFO  o.s.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@c540f5a: startup date [Thu Sep 14 14:16:01 CST 2017]; root of context hierarchy
2017-09-14 14:16:03.073 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
2017-09-14 14:16:03.078 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {4.2.14.Final}
2017-09-14 14:16:03.080 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2017-09-14 14:16:03.082 [main] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
2017-09-14 14:16:03.691 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2017-09-14 14:16:03.700 [main] INFO  o.hibernate.engine.jdbc.internal.LobCreatorBuilder - HHH000424: Disabling contextual LOB creation as createClob() method threw error : java.lang.reflect.InvocationTargetException
2017-09-14 14:16:03.908 [main] INFO  o.h.e.t.internal.TransactionFactoryInitiator - HHH000399: Using default transaction strategy (direct JDBC transactions)
2017-09-14 14:16:03.920 [main] INFO  o.h.hql.internal.ast.ASTQueryTranslatorFactory - HHH000397: Using ASTQueryTranslatorFactory
2017-09-14 14:16:03.921 [main] WARN  org.hibernate.cfg.SettingsFactory - Unrecognized value for "hibernate.hbm2ddl.auto": none
2017-09-14 14:16:04.025 [main] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 4.3.1.Final
2017-09-14 14:16:05.868 [main] DEBUG org.hibernate.SQL - select u.id,u.act_name as actName,u.act_cover_url as actCoverUrl,DATE_FORMAT(u.create_time,'%Y年%m月%d日 %h:%i') as createTime,act_type as actType from dlfm_act_root u where u.status=1 order by u.create_time desc limit ?
2017-09-14 14:16:06.024 [main] INFO  com.sharewin.xhmz.XhmzTest - [{"actCoverUrl":null,"actType":1,"id":1,"createTime":"2017年07月12日 11:33","actName":"root活动名称"}]
2017-09-14 14:16:06.032 [Thread-5] INFO  o.s.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@c540f5a: startup date [Thu Sep 14 14:16:01 CST 2017]; root of context hierarchy
2017-09-14 14:21:11.002 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-09-14 14:21:11.021 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@32a068d1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@33cb5951, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@365c30cc, org.springframework.test.context.support.DirtiesContextTestExecutionListener@701fc37a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4148db48, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@282003e1]
2017-09-14 14:21:11.107 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [applicationContext.xml]
2017-09-14 14:21:11.794 [main] INFO  o.s.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@c540f5a: startup date [Thu Sep 14 14:21:11 CST 2017]; root of context hierarchy
2017-09-14 14:21:13.285 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
2017-09-14 14:21:13.292 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {4.2.14.Final}
2017-09-14 14:21:13.295 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2017-09-14 14:21:13.297 [main] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
2017-09-14 14:21:13.893 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2017-09-14 14:21:13.905 [main] INFO  o.hibernate.engine.jdbc.internal.LobCreatorBuilder - HHH000424: Disabling contextual LOB creation as createClob() method threw error : java.lang.reflect.InvocationTargetException
2017-09-14 14:21:14.191 [main] INFO  o.h.e.t.internal.TransactionFactoryInitiator - HHH000399: Using default transaction strategy (direct JDBC transactions)
2017-09-14 14:21:14.198 [main] INFO  o.h.hql.internal.ast.ASTQueryTranslatorFactory - HHH000397: Using ASTQueryTranslatorFactory
2017-09-14 14:21:14.199 [main] WARN  org.hibernate.cfg.SettingsFactory - Unrecognized value for "hibernate.hbm2ddl.auto": none
2017-09-14 14:21:14.261 [main] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 4.3.1.Final
2017-09-14 14:21:15.791 [main] DEBUG org.hibernate.SQL - select u.id,u.act_name as actName,u.act_cover_url as actCoverUrl,DATE_FORMAT(u.create_time,'%Y年%m月%d日 %h:%i') as createTime,act_type as actType from dlfm_act_root u where u.status=1 order by u.create_time desc limit ?
2017-09-14 14:21:15.827 [main] DEBUG org.hibernate.SQL - select u.id,u.act_name as actName,u.act_cover_url as actCoverUrl,DATE_FORMAT(u.create_time,'%Y年%m月%d日 %h:%i') as createTime from dlfm_act u where u.status=1 and u.act_root_id=? order by u.create_time desc
2017-09-14 14:21:15.831 [main] TRACE org.hibernate.type.descriptor.sql.BasicBinder - binding parameter [1] as [INTEGER] - 1
2017-09-14 14:21:15.887 [main] INFO  com.sharewin.xhmz.XhmzTest - [{"actCoverUrl":null,"actType":1,"id":1,"actList":[{"actCoverUrl":"/static/upload/acyImages/20170913230006291.png","id":6,"createTime":"2017年09月13日 11:00","actName":"这是子活动二"},{"actCoverUrl":"/static/upload/acyImages/20170913225848926.png","id":5,"createTime":"2017年09月13日 10:58","actName":"这是子活动一"}],"createTime":"2017年07月12日 11:33","actName":"root活动名称"}]
2017-09-14 14:21:15.891 [Thread-5] INFO  o.s.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@c540f5a: startup date [Thu Sep 14 14:21:11 CST 2017]; root of context hierarchy
2017-09-14 14:59:24.653 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-09-14 14:59:24.716 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@32a068d1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@33cb5951, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@365c30cc, org.springframework.test.context.support.DirtiesContextTestExecutionListener@701fc37a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4148db48, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@282003e1]
2017-09-14 14:59:25.028 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [applicationContext.xml]
2017-09-14 14:59:26.513 [main] INFO  o.s.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@c540f5a: startup date [Thu Sep 14 14:59:26 CST 2017]; root of context hierarchy
2017-09-14 14:59:27.825 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
2017-09-14 14:59:27.841 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {4.2.14.Final}
2017-09-14 14:59:27.857 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
